size,spines,yescnt,nocnt,dfsyes,bfsyes,dpyestime,dfsyestime,bfsyestime,dpnotime,dfsnotime,bfsnotime
2,2,1,0,1,1,23,2,8,0,0,0
3,2,1,0,1,1,10,3,5,0,0,0
3,3,1,0,1,1,4,2,3,0,0,0
4,2,2,0,2,2,60,7,8,0,0,0
4,3,2,0,2,2,17,4,6,0,0,0
4,4,1,0,1,1,6,2,5,0,0,0
5,2,2,0,2,2,90,5,10,0,0,0
5,3,4,0,4,4,52,12,24,0,0,0
5,4,2,0,2,2,27,6,8,0,0,0
6,2,3,0,3,3,196,9,12,0,0,0
6,3,6,0,6,6,229,27,28,0,0,0
6,4,6,0,6,6,193,23,31,0,0,0
7,2,3,0,3,3,105,9,13,0,0,0
7,3,9,0,9,9,419,33,34,0,0,0
7,4,10,0,10,10,501,44,87,0,0,0
8,2,4,0,4,4,177,14,17,0,0,0
8,3,12,1,12,12,528,44,61,109,5,6
8,4,19,0,19,19,1153,83,106,0,0,0
9,2,4,0,4,4,184,17,19,0,0,0
9,3,16,2,16,16,746,70,77,242,12,11
9,4,28,1,28,28,1889,274,190,94,5,9
10,2,5,0,5,5,286,26,40,0,0,0
10,3,20,3,20,20,1044,92,143,574,15,17
10,4,44,3,44,44,2838,312,422,379,20,21
11,2,4,1,4,4,285,28,40,144,5,5
11,3,25,6,25,25,1624,125,230,1560,30,39
11,4,59,7,59,59,4242,434,499,1269,42,70
12,2,5,1,5,5,407,48,85,165,5,9
12,3,30,7,30,30,2106,244,228,3159,44,54
12,4,84,15,84,84,7008,600,840,3334,109,152
13,2,6,2,6,5,524,54,68,613,12,40
13,3,37,8,37,37,3339,412,353,4938,62,68
13,4,108,23,108,108,9839,949,1019,8926,203,328
14,2,7,4,7,6,932,62,76,3382,43,55
14,3,41,15,40,40,4605,509,438,13236,128,205
14,4,146,35,146,146,16542,1130,1609,17582,292,391
15,2,8,3,8,6,1126,96,77,5171,32,68
15,3,51,18,50,49,7027,616,600,23110,246,298
15,4,183,50,181,181,25642,1757,2364,39695,506,815
16,2,11,3,10,7,1866,127,99,5939,42,117
16,3,62,21,59,56,11510,726,901,31624,257,422
16,4,241,63,238,236,39426,2885,3127,75482,862,1022
17,2,13,8,10,7,2719,125,127,21328,157,283
17,3,75,32,67,61,15781,925,1357,56553,599,973
17,4,298,86,287,284,61375,3589,5546,134079,1555,1976
18,2,13,12,10,7,3146,161,166,38311,204,353
18,3,74,50,66,57,18046,1149,1261,119268,817,1137
18,4,379,125,356,346,89628,4941,5913,224533,2183,2980
19,2,13,11,10,5,3981,138,93,49729,215,345
19,3,73,45,70,58,20007,1180,1093,136384,766,1135
19,4,447,173,417,398,127552,6453,7523,430509,3553,4710
20,2,13,13,10,5,8819,304,112,72738,272,428
20,3,69,42,66,51,20843,1413,1080,152472,724,1271
20,4,515,205,469,437,168890,7335,8457,581050,4652,6374
21,2,9,15,7,4,3317,129,108,98602,277,446
21,3,73,43,70,53,23382,1213,1256,181842,873,1278
21,4,538,245,489,442,182300,8036,8901,739761,5542,11155
22,2,8,10,8,4,2956,182,102,64923,151,260
22,3,73,49,68,46,26845,1408,1256,247341,1064,1621
22,4,564,260,514,446,203195,9175,9641,851494,5522,11597
23,2,4,10,4,2,1399,62,45,57222,238,323
23,3,70,58,64,41,30890,1390,1146,377031,1113,2052
23,4,575,294,504,417,206097,9693,9349,1115575,6640,10343
24,2,2,5,2,1,1207,49,34,29567,119,124
24,3,65,61,57,32,34863,1506,988,482335,1436,2362
24,4,585,337,514,399,231244,10212,9166,1428840,8201,12166
25,2,0,3,0,0,0,0,0,26409,68,74
25,3,66,58,59,26,34745,1444,939,518344,1540,2511
25,4,594,350,519,365,258572,11002,9468,1804566,8094,13966
26,3,62,60,55,20,35406,1319,650,565748,1356,2480
26,4,614,387,520,346,305730,11810,9724,2313908,10263,16787
27,3,51,67,42,14,29840,1103,512,540484,1696,2712
27,4,608,444,495,308,330403,11433,8732,3063603,12057,19133
28,3,28,62,21,8,18963,511,412,495689,1606,2145
28,4,592,476,478,272,381441,12027,11520,3769519,13378,21305
29,3,12,34,7,4,12359,169,128,348791,902,1138
29,4,562,506,444,220,425140,11351,7365,4428516,14785,23658
30,3,0,15,0,0,0,0,0,265901,381,441
30,4,516,544,408,177,414505,11192,6039,5123737,15728,25446
31,4,441,506,340,133,374469,9413,4475,4866535,15408,24107
32,4,339,464,242,89,281922,6645,3265,4391165,14322,22044
33,4,185,401,128,54,188272,3720,2284,3612974,12658,18545
34,4,60,226,42,20,84882,1167,772,2286539,6920,10373
35,4,0,71,0,0,0,0,0,1120773,2118,2886
