size,spines,yescnt,nocnt,dfsyes,bfsyes,dpyestime,dfsyestime,bfsyestime,dpnotime,dfsnotime,bfsnotime
2,2,1,0,1,1,6,3,5,0,0,0
3,2,1,0,1,1,5,5,6,0,0,0
3,3,1,0,1,1,4,8,9,0,0,0
4,2,2,0,2,2,19,12,12,0,0,0
4,3,2,0,2,2,15,17,19,0,0,0
4,4,1,0,1,1,7,11,12,0,0,0
5,2,2,0,2,2,26,14,15,0,0,0
5,3,4,0,4,4,49,41,43,0,0,0
5,4,2,0,2,2,22,27,29,0,0,0
5,5,1,0,1,1,9,16,16,0,0,0
6,2,3,0,3,3,52,25,27,0,0,0
6,3,6,0,6,6,103,69,72,0,0,0
6,4,6,0,6,6,100,87,92,0,0,0
6,5,3,0,3,3,44,52,55,0,0,0
6,6,1,0,1,1,12,19,20,0,0,0
7,2,3,0,3,3,60,29,31,0,0,0
7,3,9,0,9,9,198,117,121,0,0,0
7,4,10,0,10,10,221,164,172,0,0,0
7,5,9,0,9,9,184,173,179,0,0,0
7,6,3,0,3,3,56,67,69,0,0,0
7,7,1,0,1,1,15,23,24,0,0,0
8,2,4,0,4,4,91,38,44,0,0,0
8,3,12,1,12,12,319,152,162,63,12,14
8,4,19,0,19,19,527,297,312,0,0,0
8,5,19,0,19,19,511,350,368,0,0,0
8,6,12,0,12,12,306,261,268,0,0,0
8,7,4,0,4,4,90,96,99,0,0,0
9,2,4,0,4,4,105,45,48,0,0,0
9,3,16,2,16,16,493,222,234,169,28,28
9,4,28,1,28,28,920,479,497,77,17,18
9,5,38,0,38,38,1253,757,787,0,0,0
9,6,28,0,28,28,885,646,665,0,0,0
9,7,16,0,16,16,461,411,426,0,0,0
10,2,5,0,5,5,163,61,66,0,0,0
10,3,20,3,20,20,726,307,321,412,45,48
10,4,44,3,44,44,1692,825,845,291,55,58
10,5,66,2,66,66,2581,1429,1477,179,42,43
10,6,66,0,66,66,2527,1629,1679,0,0,0
10,7,44,0,44,44,1576,1218,1250,0,0,0
11,2,4,1,4,4,143,55,59,118,13,14
11,3,25,6,25,25,1050,427,440,1290,102,107
11,4,59,7,59,59,2603,1201,1233,944,139,143
11,5,110,6,110,110,4945,2573,2643,668,136,141
11,6,126,2,126,126,5623,3343,3439,203,52,54
11,7,110,0,110,110,4704,3235,3329,0,0,0
12,2,5,1,5,5,208,81,84,143,16,16
12,3,30,7,30,30,1481,571,599,2499,131,135
12,4,84,15,84,84,4265,1853,1931,2893,324,338
12,5,170,15,170,170,8697,4269,4439,2427,372,386
12,6,236,8,236,236,11990,6642,6858,981,227,238
12,7,236,3,236,236,11662,7297,7547,330,94,97
13,2,6,2,6,5,278,105,90,471,34,52
13,3,37,8,37,37,2276,753,789,4172,162,167
13,4,108,23,108,108,6403,2545,2621,6982,533,552
13,5,255,32,255,255,14828,6778,6981,7346,847,868
13,6,395,24,395,395,22599,11718,12043,4006,718,735
13,7,472,12,472,472,26382,15385,15790,1581,398,407
14,2,7,4,7,6,436,166,148,2227,94,119
14,3,41,15,40,40,2927,1109,1144,9680,436,450
14,4,146,35,146,146,10499,4516,4650,15123,1072,1103
14,5,363,57,362,362,24329,12108,12429,18129,1937,1999
14,6,650,58,650,650,41757,23261,23884,13250,2110,2170
14,7,868,38,868,868,54273,32980,33911,6803,1481,1520
15,2,8,3,8,6,628,207,159,2662,73,128
15,3,51,18,50,49,4495,1481,1500,16679,559,606
15,4,183,50,181,181,15896,5979,6117,31914,1714,1755
15,5,512,99,509,510,40794,18102,18580,41897,3618,3678
15,6,999,117,997,997,73736,37798,38624,36704,4546,4665
15,7,1519,98,1518,1518,107196,60867,62210,23556,4050,4142
16,2,11,3,10,7,1192,279,199,4276,109,194
16,3,62,21,59,56,6957,1886,1830,24848,752,867
16,4,241,63,238,236,25277,8354,8490,57453,2322,2442
16,5,697,152,691,691,65508,26095,26656,89354,5956,6092
16,6,1516,216,1511,1511,127998,60655,61936,88983,8898,9147
16,7,2519,217,2515,2515,198076,106505,108574,67534,9438,9668
17,2,13,8,10,7,1745,296,215,13900,324,419
17,3,75,32,67,61,9824,2265,2107,42895,1343,1580
17,4,298,86,287,284,37499,10698,10819,102376,3611,3788
17,5,950,225,937,936,106351,37391,38174,177440,9487,9729
17,6,2196,370,2176,2177,214489,92063,93907,201948,16537,16821
17,7,4040,440,4028,4028,357194,179127,182777,173902,20235,20700
18,2,13,12,10,7,2101,194,141,30843,287,355
18,3,74,50,66,57,11171,1454,1304,91749,1250,1510
18,4,379,125,356,346,55977,8769,8820,184022,3596,3963
18,5,1256,322,1222,1215,166447,33245,33956,337887,9496,9919
18,6,3163,606,3119,3120,360894,92429,94880,425221,18868,19234
18,7,6246,817,6204,6203,626652,198205,203521,413430,26883,27553
19,2,13,11,10,5,2352,207,106,35847,281,393
19,3,73,45,70,58,11890,1625,1398,106204,1098,1413
19,4,447,173,417,398,79139,10801,10546,328198,5143,5811
19,5,1657,453,1595,1574,258609,45412,45615,621224,14385,15315
19,6,4418,930,4323,4315,591422,133628,135840,846434,31195,31978
19,7,9442,1425,9343,9341,1086897,311070,316557,917076,49869,50840
20,2,13,13,10,5,2411,203,105,51642,317,425
20,3,69,42,66,51,11683,1509,1206,109032,1027,1408
20,4,515,205,469,437,106716,12075,11585,442475,6393,7444
20,5,2094,630,1978,1942,385701,56487,57001,1075264,21139,22814
20,6,6127,1408,5937,5907,963322,187221,190795,1647650,49895,52208
20,7,13897,2370,13648,13636,1846757,470365,481074,1927790,89851,92392
21,2,9,15,7,4,1939,149,88,62935,353,424
21,3,73,43,70,53,14234,1677,1305,127609,1102,1537
21,4,538,245,489,442,122806,13112,12184,574686,7805,9368
21,5,2609,832,2433,2358,557805,72085,71680,1681612,29617,32819
21,6,8229,2072,7867,7795,1510856,256673,260052,3068639,78754,83146
21,7,20123,3821,19602,19558,3098616,698111,710771,3915122,154049,159121
22,2,8,10,8,4,1814,179,92,49757,218,312
22,3,73,49,68,46,16485,1712,1180,183013,1340,1936
22,4,564,260,514,446,139836,14364,12769,688523,8584,10808
22,5,3117,1049,2872,2754,778404,88241,86758,2464588,39453,44360
22,6,10890,2903,10293,10139,2323117,347534,349889,5241854,117266,125609
22,7,28468,5901,27452,27326,5088135,1009846,1025978,7570487,253551,264061
23,2,4,10,4,2,1107,93,48,44446,233,281
23,3,70,58,64,41,18530,1674,1102,269385,1659,2301
23,4,575,294,504,417,143982,14628,12401,890320,10531,13392
23,5,3627,1292,3273,3080,1051491,104247,100605,3444775,51979,59868
23,6,13935,3950,12957,12699,3435182,452236,452931,8427811,170556,184288
23,7,39553,8849,37722,37433,8190591,1432042,1450099,13891791,403670,424516
24,2,2,5,2,1,689,52,27,23068,130,159
24,3,65,61,57,32,19386,1665,981,342869,1995,2817
24,4,585,337,514,399,161140,16774,13397,1173647,13059,17362
24,5,4013,1600,3555,3268,1307574,126276,119131,4771296,71746,84746
24,6,17480,5273,16021,15549,4992020,616454,613442,13039750,255973,282328
24,7,53593,12894,50440,49863,12811143,2093884,2118765,24353141,661738,703113
25,2,0,3,0,0,0,0,0,23447,81,83
25,3,66,58,59,26,22929,1788,826,382702,1952,3033
25,4,594,350,519,365,181794,17539,12675,1438006,14124,19880
25,5,4375,1848,3813,3381,1553499,140048,127199,6236531,86979,106192
25,6,21242,6824,19151,18380,6995992,760045,745850,19445726,349519,391675
25,7,71160,18248,66102,65011,19591298,2823503,2836682,40726623,988519,1062372
26,3,62,60,55,20,23081,1733,663,402504,2073,3271
26,4,614,387,520,346,213934,18168,12444,1859809,16570,23272
26,5,4686,2091,3925,3348,1745917,149279,130358,7757522,106511,132479
26,6,25239,8560,22262,21020,9516778,911672,879881,27634260,465915,532605
26,7,92089,25174,84102,82259,29096827,3699398,3692790,65251324,1445718,1567921
27,3,51,67,42,14,19392,1375,479,392274,2429,3457
27,4,608,444,495,308,240784,17866,11487,2503781,19781,27252
27,5,4918,2448,4026,3263,2058622,158399,131432,10065129,128775,163666
27,6,29067,10585,25026,23154,12341924,1057279,999204,37856578,608328,708731
27,7,116671,33898,104746,101543,42367859,4740654,4688662,100417820,2052070,2258180
28,3,28,62,21,8,12826,710,285,359281,2292,2814
28,4,592,476,478,272,274496,17797,10477,3085925,21605,30043
28,5,5026,2778,4030,3074,2305173,163725,127959,12883044,150143,194623
28,6,32879,12760,27604,24830,15686655,1201760,1104066,50628780,772100,920356
28,7,144284,44409,127018,121818,59935349,5911336,5781814,148678299,2836524,3165687
29,3,12,34,7,4,9257,245,148,248793,1337,1487
29,4,562,506,444,220,317647,17036,8782,3739357,23527,32966
29,5,5096,3050,4045,2882,2665900,169287,123835,16206155,168444,223119
29,6,36353,15157,29482,25699,19251107,1321815,1176584,66657290,970169,1174241
29,7,174735,56834,150278,142070,82953145,7188032,6926912,213054855,3837715,4351198
30,3,0,15,0,0,0,0,0,174714,629,644
30,4,516,544,408,177,310443,18731,8280,4313452,29509,40291
30,5,5106,3342,4018,2652,2908290,196213,131802,20471730,213484,284563
30,6,39276,17873,31019,25935,22973098,1583074,1347857,87085841,1320538,1612773
30,7,206653,71526,173225,160861,110962021,9159683,8669912,297859670,5549239,6313176
31,4,441,506,340,133,289123,16057,6397,3993184,28098,38066
31,5,5186,3516,3991,2453,3340253,200570,125267,23322173,233589,314283
31,6,41494,20324,31920,25431,26533974,1677372,1357581,107162023,1553701,1931195
31,7,239698,88060,195653,177454,144935515,10641409,9816421,404966284,7178833,8314732
32,4,339,464,242,89,216648,8918,3377,3679797,20435,26460
32,5,5113,3913,3816,2149,3743714,150955,86698,29277179,203898,275026
32,6,42939,23117,32351,24352,30401814,1370802,1053129,134766752,1414598,1795338
32,7,272284,106335,215447,190256,183550928,9742802,8771650,534722243,7322749,8678061
33,4,185,401,128,54,149551,4821,2101,3001044,17162,20143
33,5,4803,4297,3523,1834,3941902,142998,75648,35260079,223769,296183
33,6,43496,25874,32263,22817,33271516,1401895,1006936,167297286,1596278,2045699
33,7,302609,127269,232700,198643,226708873,10779702,9341594,700592060,9054483,10879264
34,4,60,226,42,20,69655,1610,793,1944960,9409,10319
34,5,4326,4386,3140,1459,3973349,130828,61814,39171411,228931,302634
34,6,43635,28073,32098,21171,36898338,1430128,957438,198510554,1746140,2272557
34,7,328312,149175,245469,201689,271057778,11652680,9713311,890809072,10903156,13275418
35,4,0,71,0,0,0,0,0,987218,2777,2811
35,5,3819,4169,2715,1124,3719757,116060,48849,39760310,222036,293137
35,6,43450,30005,31428,19200,40406040,1434690,889243,234853967,1896754,2494423
35,7,348377,171321,254018,199354,313781679,12356711,9833050,1115588485,12772691,15767705
36,5,3115,3792,2151,802,3133004,94155,35676,36120202,205532,266760
36,6,42917,32102,30210,17214,44081864,1412678,816187,272848788,2069112,2715498
36,7,362755,192195,258178,192422,351093516,12860375,9717279,1349445220,14592608,18238250
37,5,2269,3342,1445,514,2400456,64664,23399,31044537,184514,227681
37,6,40884,34464,27992,14693,46324832,1340345,713226,319317909,2234233,2909034
37,7,370827,214764,258651,181623,389410144,13189877,9387940,1626598938,16430326,20757838
38,5,1186,2674,696,271,1532872,32493,13240,24234115,144426,168351
38,6,37449,35454,25024,12103,46656587,1250395,629007,353210865,2339037,3067567
38,7,372506,235885,254894,167771,422661861,13585623,9235793,1940267259,18501847,23802170
39,5,362,1470,203,85,599043,9697,4222,15292118,76075,83229
39,6,32950,34887,21464,9322,44491398,1094606,494669,369621161,2305348,2999622
39,7,368904,254114,248366,152712,456674446,13487579,8563634,2271686738,19944730,25794179
40,5,0,454,0,0,0,0,0,7053763,21854,21887
40,6,27986,32427,17700,6924,40374733,922172,375588,356865043,2163183,2790813
40,7,360600,268351,237691,135708,485193554,13168637,7770001,2612190771,21197218,27513986
41,6,21842,28546,13128,4655,33525592,697525,257533,314588716,1921824,2429335
41,7,347966,279332,222256,118037,511989248,12547715,6889533,2915545438,22312478,28877221
42,6,15046,23876,8282,2780,23451679,455714,157706,261812652,1644924,1989758
42,7,324358,290116,200305,97928,519357162,11694972,5883045,3241325771,23700160,30332443
43,6,7511,17849,3810,1402,13700937,213847,81021,190337435,1179849,1337900
43,7,290137,290224,173721,78167,505952895,10325253,4785146,3420259786,23637037,29958017
44,6,2227,9233,1047,427,5185690,57042,24101,109646173,557154,593840
44,7,248453,276617,143480,58502,467913443,8258485,3435218,3415464798,21378350,26483002
45,6,0,2740,0,0,0,0,0,46534579,149137,148804
45,7,203481,248726,112564,41693,405342101,6602288,2495703,3170484781,19364115,23667523
46,7,152278,211265,79270,27006,318012207,4732512,1646979,2696594525,16491883,19734285
47,7,99835,168236,47304,15416,217155592,2872905,957699,2126136900,13031843,15059055
48,7,47621,118786,20722,7301,117013367,1300692,462960,1478404682,9241313,9991726
49,7,13439,58689,5428,2111,39880588,337874,136131,800210312,4261170,4448777
50,7,0,16602,0,0,0,0,0,304467973,1040477,1058521
