size bfstime clsspines
2 5.0 yes2
3 6.0 yes2
3 9.0 yes3
4 6.0 yes2
4 9.5 yes3
4 12.0 yes4
5 7.5 yes2
5 10.75 yes3
5 14.5 yes4
5 16.0 yes5
6 9.0 yes2
6 12.0 yes3
6 15.333333333333334 yes4
6 18.333333333333332 yes5
6 20.0 yes6
7 10.333333333333334 yes2
7 13.444444444444445 yes3
7 17.2 yes4
7 19.88888888888889 yes5
7 23.0 yes6
7 24.0 yes7
8 11.0 yes2
8 13.5 yes3
8 14.0 no3
8 16.42105263157895 yes4
8 19.36842105263158 yes5
8 22.333333333333332 yes6
8 24.75 yes7
9 12.0 yes2
9 14.625 yes3
9 14.0 no3
9 17.75 yes4
9 18.0 no4
9 20.710526315789473 yes5
9 23.75 yes6
9 26.625 yes7
10 13.2 yes2
10 16.05 yes3
10 16.0 no3
10 19.204545454545453 yes4
10 19.333333333333332 no4
10 22.37878787878788 yes5
10 21.5 no5
10 25.439393939393938 yes6
10 28.40909090909091 yes7
11 14.75 yes2
11 14.0 no2
11 17.6 yes3
11 17.833333333333332 no3
11 20.89830508474576 yes4
11 20.428571428571427 no4
11 24.027272727272727 yes5
11 23.5 no5
11 27.293650793650794 yes6
11 27.0 no6
11 30.263636363636362 yes7
12 16.8 yes2
12 16.0 no2
12 19.966666666666665 yes3
12 19.285714285714285 no3
12 22.988095238095237 yes4
12 22.533333333333335 no4
12 26.111764705882354 yes5
12 25.733333333333334 no5
12 29.059322033898304 yes6
12 29.75 no6
12 31.978813559322035 yes7
12 32.333333333333336 no7
13 18.0 yes2
13 17.333333333333332 no2
13 21.324324324324323 yes3
13 20.875 no3
13 24.26851851851852 yes4
13 24.0 no4
13 27.376470588235293 yes5
13 27.125 no5
13 30.48860759493671 yes6
13 30.625 no6
13 33.45338983050848 yes7
13 33.916666666666664 no7
14 24.666666666666668 yes2
14 23.8 no2
14 28.6 yes3
14 28.125 no3
14 31.84931506849315 yes4
14 31.514285714285716 no4
14 34.33425414364641 yes5
14 34.46551724137931 no5
14 36.744615384615386 yes6
14 37.41379310344828 no6
14 39.06797235023041 yes7
14 40.0 no7
15 26.5 yes2
15 25.6 no2
15 30.612244897959183 yes3
15 30.3 no3
15 33.79558011049724 yes4
15 33.75 no4
15 36.431372549019606 yes5
15 36.415841584158414 no5
15 38.74022066198596 yes6
15 39.20168067226891 no6
15 40.98155467720685 yes7
15 41.83838383838384 no7
16 28.428571428571427 yes2
16 27.714285714285715 no2
16 32.67857142857143 yes3
16 32.111111111111114 no3
16 35.97457627118644 yes4
16 35.911764705882355 no4
16 38.575976845151956 yes5
16 38.55696202531646 no5
16 40.990072799470546 yes6
16 41.38914027149321 no6
16 43.17057654075547 yes7
16 43.74660633484163 no7
17 30.714285714285715 yes2
17 29.928571428571427 no2
17 34.540983606557376 yes3
17 34.34782608695652 no3
17 38.09507042253521 yes4
17 37.88 no4
17 40.784188034188034 yes5
17 40.7071129707113 no5
17 43.13596692696371 yes6
17 43.24164524421594 no6
17 45.3766137040715 yes7
17 45.796460176991154 no7
18 20.142857142857142 yes2
18 19.72222222222222 no2
18 22.87719298245614 yes3
18 22.53731343283582 no3
18 25.491329479768787 yes4
18 25.082278481012658 no4
18 27.947325102880658 yes5
18 27.325068870523417 no5
18 30.41025641025641 yes6
18 29.636363636363637 no6
18 32.81009189102048 yes7
18 32.038372093023256 no7
19 21.2 yes2
19 20.68421052631579 no2
19 24.103448275862068 yes3
19 23.55 no3
19 26.497487437185928 yes4
19 26.175675675675677 no4
19 28.98030495552732 yes5
19 28.57276119402985 no5
19 31.480880648899188 yes6
19 30.95643756050339 no6
19 33.88898404881704 yes7
19 33.31585845347313 no7
20 21.0 yes2
20 20.238095238095237 no2
20 23.647058823529413 yes3
20 23.466666666666665 no3
20 26.51029748283753 yes4
20 26.30388692579505 no4
20 29.35169927909372 yes5
20 29.17391304347826 no5
20 32.299813780260706 yes6
20 32.06879606879607 no6
20 35.27970079202112 yes7
20 35.11668567084759 no7
21 22.0 yes2
21 21.2 no2
21 24.62264150943396 yes3
21 24.396825396825395 no3
21 27.56561085972851 yes4
21 27.472140762463344 no4
21 30.39864291772689 yes5
21 30.303785780240073 no5
21 33.361385503527906 yes6
21 33.17877094972067 no6
21 36.341701605481134 yes7
21 36.279297765617876 no7
22 23.0 yes2
22 22.285714285714285 no2
22 25.652173913043477 yes3
22 25.473684210526315 no3
22 28.630044843049326 yes4
22 28.59259259259259 no4
22 31.50254175744372 yes5
