size bfstime clsspines
2 8.0 yes2
3 5.0 yes2
3 3.0 yes3
4 4.0 yes2
4 3.0 yes3
4 5.0 yes4
5 5.0 yes2
5 6.0 yes3
5 4.0 yes4
6 4.0 yes2
6 4.666666666666667 yes3
6 5.166666666666667 yes4
7 4.333333333333333 yes2
7 3.7777777777777777 yes3
7 8.7 yes4
8 4.25 yes2
8 5.083333333333333 yes3
8 6.0 no3
8 5.578947368421052 yes4
9 4.75 yes2
9 4.8125 yes3
9 5.5 no3
9 6.785714285714286 yes4
9 9.0 no4
10 8.0 yes2
10 7.15 yes3
10 5.666666666666667 no3
10 9.590909090909092 yes4
10 7.0 no4
11 10.0 yes2
11 5.0 no2
11 9.2 yes3
11 6.5 no3
11 8.457627118644067 yes4
11 10.0 no4
12 17.0 yes2
12 9.0 no2
12 7.6 yes3
12 7.714285714285714 no3
12 10.0 yes4
12 10.133333333333333 no4
13 13.6 yes2
13 13.333333333333334 no2
13 9.54054054054054 yes3
13 8.5 no3
13 9.435185185185185 yes4
13 14.26086956521739 no4
14 12.666666666666666 yes2
14 11.0 no2
14 10.95 yes3
14 12.8125 no3
14 11.020547945205479 yes4
14 11.17142857142857 no4
15 12.833333333333334 yes2
15 13.6 no2
15 12.244897959183673 yes3
15 14.9 no3
15 13.060773480662984 yes4
15 15.673076923076923 no4
16 14.142857142857142 yes2
16 16.714285714285715 no2
16 16.089285714285715 yes3
16 15.62962962962963 no3
16 13.25 yes4
16 15.029411764705882 no4
17 18.142857142857142 yes2
17 20.214285714285715 no2
17 22.24590163934426 yes3
17 21.152173913043477 no3
17 19.528169014084508 yes4
17 19.76 no4
18 23.714285714285715 yes2
18 19.61111111111111 no2
18 22.12280701754386 yes3
18 16.970149253731343 no3
18 17.089595375722542 yes4
18 18.860759493670887 no4
19 18.6 yes2
19 18.157894736842106 no2
19 18.844827586206897 yes3
19 18.916666666666668 no3
19 18.902010050251256 yes4
19 21.216216216216218 no4
20 22.4 yes2
20 20.38095238095238 no2
20 21.176470588235293 yes3
20 21.183333333333334 no3
20 19.352402745995423 yes4
20 22.52296819787986 no4
21 27.0 yes2
21 22.3 no2
21 23.69811320754717 yes3
21 20.285714285714285 no3
21 20.138009049773757 yes4
21 32.712609970674485 no4
22 25.5 yes2
22 18.571428571428573 no2
22 27.304347826086957 yes3
22 21.32894736842105 no3
22 21.616591928251122 yes4
22 30.67989417989418 no4
23 22.5 yes2
23 26.916666666666668 no2
23 27.951219512195124 yes3
23 23.586206896551722 no3
23 22.41966426858513 yes4
23 22.88274336283186 no4
24 34.0 yes2
24 20.666666666666668 no2
24 30.875 yes3
24 25.127659574468087 no3
24 22.972431077694235 yes4
24 23.261950286806883 no4
25 24.666666666666668 no2
25 36.11538461538461 yes3
25 25.622448979591837 no3
25 25.93972602739726 yes4
25 24.120898100172713 no4
26 32.5 yes3
26 24.313725490196077 no3
26 28.104046242774565 yes4
26 25.629007633587786 no4
27 36.57142857142857 yes3
27 26.076923076923077 no3
27 28.350649350649352 yes4
27 25.716397849462364 no4
28 51.5 yes3
28 26.158536585365855 no3
28 42.35294117647059 yes4
28 26.765075376884422 no4
29 32.0 yes3
29 27.095238095238095 no3
29 33.47727272727273 yes4
29 27.89858490566038 no4
30 29.4 no3
30 34.11864406779661 yes4
30 28.81766704416761 no4
31 33.64661654135338 yes4
31 29.615479115479115 no4
32 36.68539325842696 yes4
32 30.873949579831933 no4
33 42.2962962962963 yes4
33 34.859022556390975 no4
34 38.6 yes4
34 38.99624060150376 no4
35 40.647887323943664 no4
