size dfstime clsspines
2 3.0 yes2
3 5.0 yes2
3 8.0 yes3
4 6.0 yes2
4 8.5 yes3
4 11.0 yes4
5 7.0 yes2
5 10.25 yes3
5 13.5 yes4
5 16.0 yes5
6 8.333333333333334 yes2
6 11.5 yes3
6 14.5 yes4
6 17.333333333333332 yes5
6 19.0 yes6
7 9.666666666666666 yes2
7 13.0 yes3
7 16.4 yes4
7 19.22222222222222 yes5
7 22.333333333333332 yes6
7 23.0 yes7
8 9.5 yes2
8 12.666666666666666 yes3
8 12.0 no3
8 15.631578947368421 yes4
8 18.42105263157895 yes5
8 21.75 yes6
8 24.0 yes7
9 11.25 yes2
9 13.875 yes3
9 14.0 no3
9 17.107142857142858 yes4
9 17.0 no4
9 19.92105263157895 yes5
9 23.071428571428573 yes6
9 25.6875 yes7
10 12.2 yes2
10 15.35 yes3
10 15.0 no3
10 18.75 yes4
10 18.333333333333332 no4
10 21.651515151515152 yes5
10 21.0 no5
10 24.681818181818183 yes6
10 27.681818181818183 yes7
11 13.75 yes2
11 13.0 no2
11 17.08 yes3
11 17.0 no3
11 20.35593220338983 yes4
11 19.857142857142858 no4
11 23.39090909090909 yes5
11 22.666666666666668 no5
11 26.53174603174603 yes6
11 26.0 no6
11 29.40909090909091 yes7
12 16.2 yes2
12 16.0 no2
12 19.033333333333335 yes3
12 18.714285714285715 no3
12 22.05952380952381 yes4
12 21.6 no4
12 25.111764705882354 yes5
12 24.8 no5
12 28.14406779661017 yes6
12 28.375 no6
12 30.91949152542373 yes7
12 31.333333333333332 no7
13 17.5 yes2
13 17.0 no2
13 20.35135135135135 yes3
13 20.25 no3
13 23.564814814814813 yes4
13 23.17391304347826 no4
13 26.580392156862747 yes5
13 26.46875 no5
13 29.66582278481013 yes6
13 29.916666666666668 no6
13 32.595338983050844 yes7
13 33.166666666666664 no7
14 23.714285714285715 yes2
14 23.5 no2
14 27.725 yes3
14 27.25 no3
14 30.931506849315067 yes4
14 30.62857142857143 no4
14 33.447513812154696 yes5
14 33.39655172413793 no5
14 35.786153846153844 yes6
14 36.37931034482759 no6
14 37.995391705069125 yes7
14 38.973684210526315 no7
15 25.875 yes2
15 24.333333333333332 no2
15 29.62 yes3
15 29.42105263157895 no3
15 33.033149171270715 yes4
15 32.96153846153846 no4
15 35.56385068762279 yes5
15 35.470588235294116 no5
15 37.91173520561685 yes6
15 38.20168067226891 no6
15 40.09683794466403 yes7
15 40.90909090909091 no7
16 27.9 yes2
16 27.25 no2
16 31.966101694915253 yes3
16 31.333333333333332 no3
16 35.10084033613445 yes4
16 35.18181818181818 no4
16 37.76410998552822 yes5
16 37.69620253164557 no5
16 40.14228987425546 yes6
16 40.262443438914026 no6
16 42.3479125248509 yes7
16 42.705882352941174 no7
17 29.6 yes2
17 29.454545454545453 no2
17 33.80597014925373 yes3
17 33.575 no3
17 37.275261324041814 yes4
17 37.22680412371134 no4
17 39.905016008537885 yes5
17 39.86134453781513 no5
17 42.30836397058823 yes6
17 42.4025641025641 no6
17 44.47045680238332 yes7
17 44.767699115044245 no7
18 19.4 yes2
18 19.133333333333333 no2
18 22.03030303030303 yes3
18 21.551724137931036 no3
18 24.632022471910112 yes4
18 24.2972972972973 no4
18 27.20540098199673 yes5
18 26.674157303370787 no5
18 29.634177621032382 yes6
18 29.02769230769231 no6
