size dfstime clsspines
2 6.0 yes2
3 8.0 yes2
3 2.0 yes3
4 9.5 yes2
4 2.0 yes3
4 2.0 yes4
5 27.0 yes2
5 2.25 yes3
5 2.5 yes4
6 19.0 yes2
6 2.6666666666666665 yes3
6 3.0 yes4
7 15.666666666666666 yes2
7 3.111111111111111 yes3
7 8.8 yes4
8 23.75 yes2
8 3.4166666666666665 yes3
8 3.0 no3
8 4.157894736842105 yes4
9 18.25 yes2
9 8.625 yes3
9 24.0 no3
9 6.392857142857143 yes4
9 4.0 no4
10 19.6 yes2
10 7.6 yes3
10 4.0 no3
10 6.2727272727272725 yes4
10 6.0 no4
11 19.25 yes2
11 23.0 no2
11 5.24 yes3
11 7.0 no3
11 7.389830508474576 yes4
11 5.714285714285714 no4
12 16.2 yes2
12 24.0 no2
12 8.5 yes3
12 5.857142857142857 no3
12 6.559523809523809 yes4
12 6.733333333333333 no4
13 16.5 yes2
13 29.5 no2
13 7.297297297297297 yes3
13 11.5 no3
13 10.0 yes4
13 9.869565217391305 no4
14 13.142857142857142 yes2
14 15.75 no2
14 8.25 yes3
14 10.8125 no3
14 9.095890410958905 yes4
14 8.657142857142857 no4
15 12.25 yes2
15 14.666666666666666 no2
15 9.86 yes3
15 10.105263157894736 no3
15 11.0 yes4
15 12.211538461538462 no4
16 10.8 yes2
16 10.75 no2
16 13.0 yes3
16 13.458333333333334 no3
16 10.701680672268907 yes4
16 11.469696969696969 no4
17 18.9 yes2
17 21.272727272727273 no2
17 13.223880597014926 yes3
17 12.35 no3
17 12.526132404181185 yes4
17 12.835051546391753 no4
18 18.7 yes2
18 23.8 no2
18 15.681818181818182 yes3
18 16.96551724137931 no3
18 12.814606741573034 yes4
18 15.635135135135135 no4
19 15.3 yes2
19 15.357142857142858 no2
19 14.1 yes3
19 13.958333333333334 no3
19 13.412470023980815 yes4
19 15.80295566502463 no4
20 33.4 yes2
20 19.0 no2
20 15.742424242424242 yes3
20 13.822222222222223 no3
20 14.294243070362473 yes4
20 16.083665338645417 no4
21 23.428571428571427 yes2
21 23.41176470588235 no2
21 18.914285714285715 yes3
21 15.021739130434783 no3
21 15.431492842535787 yes4
21 16.976190476190474 no4
22 23.5 yes2
22 14.5 no2
22 19.808823529411764 yes3
22 14.777777777777779 no3
22 17.09338521400778 yes4
22 17.15806451612903 no4
23 18.25 yes2
23 17.9 no2
23 21.28125 yes3
23 20.46875 no3
23 17.908730158730158 yes4
23 18.4027397260274 no4
24 16.0 yes2
24 18.0 no2
24 22.87719298245614 yes3
24 19.463768115942027 no3
24 19.17898832684825 yes4
24 18.916666666666668 no4
25 18.666666666666668 no2
25 25.88135593220339 yes3
25 20.446153846153845 no3
25 20.83044315992293 yes4
25 19.691764705882353 no4
26 22.581818181818182 yes3
26 18.98507462686567 no3
26 29.078846153846154 yes4
26 21.671517671517673 no4
27 22.761904761904763 yes3
27 21.973684210526315 no3
27 25.466666666666665 yes4
27 22.43447037701975 no4
28 23.38095238095238 yes3
28 20.768115942028984 no3
28 25.13807531380753 yes4
28 22.103389830508476 no4
29 30.285714285714285 yes3
29 22.128205128205128 no3
29 26.786036036036037 yes4
29 24.232371794871796 no4
30 30.133333333333333 no3
30 28.019607843137255 yes4
30 25.48006134969325 no4
31 28.83529411764706 yes4
31 26.336079077429982 no4
32 29.16115702479339 yes4
32 32.13368983957219 no4
33 29.8046875 yes4
33 28.578602620087338 no4
34 31.547619047619047 yes4
34 30.258196721311474 no4
35 34.67605633802817 no4
