size dptime clsspines
2 6.0 yes2
3 6.0 yes2
3 5.0 yes3
4 10.0 yes2
4 8.5 yes3
4 7.0 yes4
5 12.5 yes2
5 12.25 yes3
5 11.5 yes4
5 9.0 yes5
6 16.333333333333332 yes2
6 16.666666666666668 yes3
6 16.333333333333332 yes4
6 14.666666666666666 yes5
6 12.0 yes6
7 18.666666666666668 yes2
7 21.11111111111111 yes3
7 21.3 yes4
7 19.77777777777778 yes5
7 17.666666666666668 yes6
7 14.0 yes7
8 21.75 yes2
8 25.166666666666668 yes3
8 58.0 no3
8 26.789473684210527 yes4
8 26.31578947368421 yes5
8 23.583333333333332 yes6
8 21.25 yes7
9 24.25 yes2
9 29.25 yes3
9 77.5 no3
9 31.285714285714285 yes4
9 71.0 no4
9 31.473684210526315 yes5
9 30.071428571428573 yes6
9 27.3125 yes7
10 29.8 yes2
10 34.8 yes3
10 127.0 no3
10 36.5 yes4
10 88.66666666666667 no4
10 37.0 yes5
10 81.0 no5
10 36.15151515151515 yes6
10 33.86363636363637 yes7
11 33.0 yes2
11 109.0 no2
11 39.68 yes3
11 200.0 no3
11 41.69491525423729 yes4
11 123.57142857142857 no4
11 42.63636363636363 yes5
11 103.66666666666667 no5
11 42.095238095238095 yes6
11 95.0 no6
11 40.41818181818182 yes7
12 51.4 yes2
12 130.0 no2
12 46.53333333333333 yes3
12 339.0 no3
12 48.214285714285715 yes4
12 179.0 no4
12 48.48235294117647 yes5
12 149.8 no5
12 48.313559322033896 yes6
12 114.0 no6
12 46.51271186440678 yes7
12 102.33333333333333 no7
13 43.5 yes2
13 220.5 no2
13 57.83783783783784 yes3
13 494.5 no3
13 56.351851851851855 yes4
13 285.6521739130435 no4
13 55.1843137254902 yes5
13 214.8125 no5
13 54.06582278481012 yes6
13 155.95833333333334 no6
13 52.87923728813559 yes7
13 123.25 no7
14 57.42857142857143 yes2
14 541.5 no2
14 67.48780487804878 yes3
14 612.8 no3
14 68.41095890410959 yes4
14 409.6857142857143 no4
14 63.88154269972452 yes5
14 300.10526315789474 no5
14 60.97692307692308 yes6
14 214.93103448275863 no6
14 58.93202764976959 yes7
14 169.71052631578948 no7
15 72.625 yes2
15 840.3333333333334 no2
15 83.0 yes3
15 886.2222222222222 no3
15 83.10382513661202 yes4
15 608.96 no4
15 76.1953125 yes5
15 402.7878787878788 no5
15 70.38038038038039 yes6
15 296.7692307692308 no6
15 66.93877551020408 yes7
15 227.0408163265306 no7
16 98.9090909090909 yes2
16 1376.6666666666667 no2
16 104.88709677419355 yes3
16 1135.904761904762 no3
16 99.9045643153527 yes4
16 875.968253968254 no4
16 89.63414634146342 yes5
16 561.796052631579 no5
16 80.62401055408971 yes6
16 393.1388888888889 no6
16 74.69749900754267 yes7
16 295.04608294930875 no7
17 122.92307692307692 yes2
17 1645.0 no2
17 123.32 yes3
17 1277.65625 no3
17 119.96979865771812 yes4
17 1146.6511627906978 no4
17 106.95052631578947 yes5
17 757.2177777777778 no5
17 93.36930783242259 yes6
17 522.6 no6
17 84.18861386138614 yes7
17 375.8909090909091 no7
18 148.15384615384616 yes2
18 2445.0833333333335 no2
18 141.01351351351352 yes3
18 1751.44 no3
18 140.4538258575198 yes4
18 1414.496 no4
18 126.64808917197452 yes5
18 1010.9409937888199 no5
18 109.07809042048687 yes6
18 673.6567656765676 no6
18 95.60054434838297 yes7
18 482.86046511627904 no7
19 166.76923076923077 yes2
19 3123.090909090909 no2
19 153.12328767123287 yes3
19 2271.222222222222 no3
19 168.47427293064877 yes4
19 1825.3757225433526 no4
19 148.95171997586 yes5
19 1321.3509933774835 no5
19 127.97736532367587 yes6
19 875.4290322580645 no6
19 109.88731201016734 yes7
19 615.5270175438596 no7
20 171.07692307692307 yes2
20 3801.6923076923076 no2
20 162.05797101449275 yes3
20 2514.904761904762 no3
20 197.0504854368932 yes4
20 2085.0439024390244 no4
20 175.8748806112703 yes5
20 1647.8603174603174 no5
20 150.41553778358087 yes6
20 1127.8984375 no6
20 127.00604447002951 yes7
20 779.9839662447257 no7
21 201.0 yes2
21 4017.6666666666665 no2
21 185.3972602739726 yes3
21 2889.3488372093025 no3
21 217.34014869888475 yes4
21 2269.718367346939 no4
21 204.220774243005 yes5
21 1954.9867788461538 no5
21 175.8477336249848 yes6
21 1430.1216216216217 no6
21 147.22233265417682 yes7
21 984.638052865742 no7
22 209.125 yes2
22 4777.7 no2
22 214.5205479452055 yes3
22 3657.714285714286 no3
22 236.10992907801418 yes4
22 2574.2076923076925 no4
22 238.3917228103946 yes5
22 2278.87130600572 no5
22 204.09100091827364 yes6
22 1746.8815018945918 no6
22 170.86180975129972 yes7
22 1236.077783426538 no7
23 258.5 yes2
23 4273.6 no2
23 251.21428571428572 yes3
23 4540.6551724137935 no3
23 239.01391304347825 yes4
23 2952.9591836734694 no4
23 277.01378549765644 yes5
23 2590.613777089783 no5
23 235.8990312163617 yes6
23 2069.4703797468355 no6
23 197.94101585214776 yes7
23 1515.9694880777488 no7
24 317.5 yes2
24 4464.8 no2
24 283.5230769230769 yes3
24 5521.6557377049185 no3
24 262.7111111111111 yes4
24 3408.154302670623 no4
24 311.1186145028657 yes5
24 2901.038125 no5
24 273.0529748283753 yes6
24 2401.347240659966 no6
24 228.49573638348292 yes7
24 1827.4918566775245 no7
25 7559.666666666667 no2
25 330.3636363636364 yes3
25 6489.517241379311 no3
25 291.949494949495 yes4
25 4037.7228571428573 no4
25 339.06217142857145 yes5
25 3290.3896103896104 no5
25 315.111571415121 yes6
25 2772.039273153576 no6
25 263.22952501405285 yes7
25 2163.2484655852695 no7
26 354.9516129032258 yes3
26 6602.05 no3
26 332.20032573289905 yes4
26 4736.529715762274 no4
26 355.3836961160905 yes5
26 3622.7111429937827 no5
26 360.847220571338 yes6
26 3144.1620327102805 no6
26 302.2316237552802 yes7
26 2516.414117740526 no7
27 360.70588235294116 yes3
27 5746.4029850746265 no3
27 377.53125 yes4
27 5556.024774774774 no4
27 399.04392029280194 yes5
27 4018.5555555555557 no5
27 406.4715312897788 yes6
27 3486.0839867737363 no6
27 347.511909557645 yes7
27 2879.827777449997 no7
28 433.39285714285717 yes3
28 5679.419354838709 no3
28 441.1216216216216 yes4
28 6392.346638655462 no4
28 436.96617588539596 yes5
28 4538.030957523398 no5
28 456.7169013656133 yes6
28 3870.880407523511 no6
28 397.7695517174461 yes7
28 3258.687540813799 no7
29 728.3333333333334 yes3
29 7186.735294117647 no3
29 537.8612099644129 yes4
29 7290.164031620553 no4
29 498.6004709576138 yes5
29 5205.4065573770495 no5
29 506.7440376310071 yes6
29 4292.824767434189 no6
29 454.936171917475 yes7
29 3652.550832248302 no7
30 11472.133333333333 no3
30 573.5213178294574 yes4
30 7821.485294117647 no4
30 543.2453975714845 yes5
30 6006.234889287852 no5
30 559.5100824931255 yes6
30 4757.937447546578 no6
30 514.9853861303732 yes7
30 4060.5467382490283 no7
31 625.4965986394558 yes4
31 7792.092885375494 no4
31 614.2996529116853 yes5
31 6511.674630261661 no5
31 611.3261676386948 yes6
31 5150.888260185003 no6
31 580.0883069529158 yes7
31 4486.706223029752 no7
32 608.1002949852507 yes4
32 7824.950431034483 no4
32 698.1617445726579 yes5
32 7349.333248147202 no5
32 676.8471086890705 yes6
32 5698.032400397976 no6
32 646.887316184572 yes7
32 4907.734283161706 no7
33 768.2918918918919 yes4
33 7376.094763092269 no4
33 783.3091817613991 yes5
33 8059.092390039563 no5
33 731.377391024462 yes6
33 6323.173610574322 no6
33 718.963589979148 yes7
33 5374.384563405071 no7
34 1101.8333333333333 yes4
34 8486.91592920354 no4
34 876.9519186315302 yes5
34 8776.071591427268 no5
34 809.0332760398762 yes6
34 6919.224949239483 no6
34 792.3564597090573 yes7
34 5831.827705714764 no7
35 13785.94366197183 no4
35 931.2890809112333 yes5
35 9372.51763012713 no5
35 890.4952589182969 yes6
35 7666.691551408098 no6
35 864.5744868346648 yes7
35 6362.960285078887 no7
36 959.8109149277689 yes5
36 9365.57964135021 no5
36 983.9039075424657 yes6
36 8330.750669740202 no6
36 929.0601314937079 yes7
36 6864.13345300346 no7
37 1009.394006170119 yes5
37 9129.22262118492 no5
37 1085.8966588396438 yes6
37 9087.245966805942 no6
37 1008.5565937755341 yes7
37 7407.920023840122 no7
38 1233.725126475548 yes5
38 8906.142857142857 no5
38 1194.6608988223984 yes6
38 9776.05254696226 no6
38 1090.24678528668 yes7
38 8051.155495262522 no7
39 1579.4419889502763 yes5
39 10233.106802721088 no5
39 1295.1251896813353 yes6
39 10402.890446298048 no6
39 1190.4245088153016 yes7
39 8756.967144667355 no7
40 15348.550660792951 no5
40 1384.8778317730294 yes6
40 10805.567613408579 no6
40 1294.705912368275 yes7
40 9542.515790885818 no7
41 1472.7111070414796 yes6
41 10818.736635605688 no6
41 1416.424012690895 yes7
41 10237.240190883966 no7
42 1493.1002259736806 yes6
42 10760.84084436254 no6
42 1541.7596082106809 yes7
42 10963.607587999282 no7
43 1747.5453335108507 yes6
43 10460.333408034063 no6
43 1679.8544515177314 yes7
43 11567.98661378797 no7
44 2234.286035024697 yes6
44 11663.658074298712 no6
44 1814.6464280970647 yes7
44 12122.157108926784 no7
45 16749.132481751825 no6
45 1919.843955946747 yes7
45 12514.835931909009 no7
46 2011.036137853137 yes7
46 12528.966601188082 no7
47 2093.2960985626282 yes7
47 12400.155020328586 no7
48 2364.18502341404 yes7
48 12209.048364285354 no7
49 2857.2540367586876 yes7
49 13386.56947639251 no7
50 18064.692205758343 no7
